position;castle_code;tags;castle_name;country;land;gebied;area;place;region;region_code;Latitude;Longitude;maps;stichter;founder;era;kasteel_type;castle_type;ct_code;kasteel_concept;castle_concept;cc_code;conditie;condition;c_code;opmerkelijk;remarkable;beschrijving;description;website;score_total;score_visitors;visitors;position_ref;score_ref;score_visitors_calculated;bezocht;score_alg;score_country;Description2;Name
45;mota;mota;Castillo de la Mota (Medina del Campo);Spain;Spanje;Zuid Europa;South Europe;Medina del Campo (Valladolid);Castilla y León;castilla_y_leon;41,308793;-4,908721;;Koning Jean II van Castilie;King Jean II of Castilie;13;Hoogteburcht;Mountain castle;1;Donjon in weermuren;Donjon in curtain wall;7;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;;;http://www.turismocastillayleon.com/cm/setLocale?pgseed=1232288223398&dvRegLocale=en_UK;689,0125246;8,128571429;139;65;354,0932813;840,6571429;;439,7305938;224;<b>Castillo de la Mota (Medina del Campo)</b><br><br><img src='http://www.topcastles.com/images/large/mota.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=mota<br><br>45. Castillo de la Mota (Medina del Campo)<br>Country: Spain<br>Region: Castilla y León<br>Place: Medina del Campo (Valladolid);Castillo de la Mota (Medina del Campo)
46;castelvecchio;castelvecchio;Castelvecchio;Italy;Italië;Zuid Europa, Heilige Roomse Rijk;South Europe, Holy Roman Empire;Verona;Veneto (Venetia);venetia;45,439636;10,987777;8448149817079800998;Cangrande II della Scala;Cangrande II della Scala;14;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;;;http://www.comune.verona.it/Castelvecchio/cvsito/english/index1.htm;688,4386715;7,814159292;112;53;373,9230076;803,8159292;2007;495,4922107;112;<b>Castelvecchio</b><br><br><img src='http://www.topcastles.com/images/large/castelvecchio.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=castelvecchio<br><br>46. Castelvecchio<br>Country: Italy<br>Region: Veneto (Venetia)<br>Place: Verona;Castelvecchio
47;langeais;langeais;Château de Langeais ;France;Frankrijk;;;Langeais;Centre;centre;47,324669;0,405968;857317020672187266;Koning Lodewijk XI van Frankrijk;King Louis XI of Frankrijk;15;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1;Hier trouwde koning Charles VIII van Frankrijk met de 15-jarige Anne, erfgenaam van de Hertog van Bretagne.;Hier trouwde koning Charles VIII van Frankrijk met de 15-jarige Anne, erfgenaam van de Hertog van Bretagne.;De oude donjon van Langeais stamt uit de 11de eeuw, het kasteel van Lous XI uit de 15de eeuw.;De oude donjon van Langeais stamt uit de 11de eeuw, het kasteel van Lous XI uit de 15de eeuw.;http://www.37-online.net/chateaux/langeais.html;687,410819;7,096296296;134;39;410,2177824;736,4296296;2005;574,3048954;0;<b>Château de Langeais </b><br><br><img src='http://www.topcastles.com/images/large/langeais.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=langeais<br><br>47. Château de Langeais <br>Country: France<br>Region: Centre<br>Place: Langeais;Château de Langeais 
48;yedikule;yedikule;Yedikule Hisari (Golden Gate Castle, Catle of Seven Towers);Turkey;Turkije;Azië, Buiten Europa, Kruistochten;Asia, Outside Europe, Crusades;Istanbul;;;40,993056;28,923333;;Theodosius II;Theodosius II;;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;;;;682,6680029;8,214285714;13;63;356,281908;824,0285714;;414,7946713;336;<b>Yedikule Hisari (Golden Gate Castle, Catle of Seven Towers)</b><br><br><img src='http://www.topcastles.com/images/large/yedikule.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=yedikule<br><br>48. Yedikule Hisari (Golden Gate Castle, Catle of Seven Towers)<br>Country: Turkey<br>Region: <br>Place: Istanbul;Yedikule Hisari (Golden Gate Castle, Catle of Seven Towers)
49;sanangelo;Sant'Angelo;Castel Sant'Angelo (Lungotevere Castello, Engelenburcht);Italy;Italië;Zuid Europa;South Europe;Rome;Lazio;lazio;41,902668;12,46639;13430183142717695716;Gregory I;Gregory I;10;Stadsburcht;City castle;5;Ringburcht;Ringwork;3;Intakt;Intact;1; ; ;In de 5de eeuw werd een bestaand mausoleum omgebouwd tot romeins fort. In de 10de eeuw werd dit ford omgebouwd tot het huidige kasteel;In de 5de eeuw werd een bestaand mausoleum omgebouwd tot romeins fort. In de 10de eeuw werd dit ford omgebouwd tot het huidige kasteel;http://www.castelsantangelo.com;682,6113301;7,281690141;141;48;393,8075812;756,3690141;;523,3306136;112;<b>Castel Sant'Angelo (Lungotevere Castello, Engelenburcht)</b><br><br><img src='http://www.topcastles.com/images/large/sanangelo.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=sanangelo<br><br>49. Castel Sant'Angelo (Lungotevere Castello, Engelenburcht)<br>Country: Italy<br>Region: Lazio<br>Place: Rome;Castel Sant'Angelo (Lungotevere Castello, Engelenburcht)
50;krolewski;krolewski;Wawel (Cracow, Krolewski);Poland;Polen;Oost Europa;Eastern Europe;Cracow;Malopolskie (Lesser Poland);malopolskie;50,054474;19,936155;13168297013526926651;King Boleslaw Chrobry;King Boleslaw Chrobry;11;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Herbouwd/Verbouwd;Rebuild/Restored;2;;;Residence of Polish kings and capitol castle since 1041 to 1596, cathedral with graves of Polish monarches and national heroes, rebuilt in renaissance style in16th century age, currently the biggest polish museum;Residence of Polish kings and capitol castle since 1041 to 1596, cathedral with graves of Polish monarches and national heroes, rebuilt in renaissance style in16th century age, currently the biggest polish museum;http://www.wawel.krakow.pl/menu.htm;680,4871683;8,44047619;83;83;333,514843;860,647619;;410,9207803;224;<b>Wawel (Cracow, Krolewski)</b><br><br><img src='http://www.topcastles.com/images/large/krolewski.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=krolewski<br><br>50. Wawel (Cracow, Krolewski)<br>Country: Poland<br>Region: Malopolskie (Lesser Poland)<br>Place: Cracow;Wawel (Cracow, Krolewski)
51;pfalzgrafenstein;pfalzgrafenstein;Pfalzgrafenstein;Germany;Duitsland;Heilige Roomse Rijk;Holy Roman Empire;Kaub;Rheinland-Pfalz;rheinland-pfalz;50,083568;7,765167;10699600800657530292;Keizer Ludwig von Bavaria;Emperor Ludwig of Bavaria;14;Waterburcht (Slot);Water castle;3;Toren of compact kasteel;Tower or compact castle;4;Intakt;Intact;1; ; ;;;http://www.loreleytal.com/rheinburgen/rechts/pfalzgrafenstein/index.html;679,3754854;7,1015625;127;44;401,7748448;735,55625;2004;562,4847828;0;<b>Pfalzgrafenstein</b><br><br><img src='http://www.topcastles.com/images/large/pfalzgrafenstein.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=pfalzgrafenstein<br><br>51. Pfalzgrafenstein<br>Country: Germany<br>Region: Rheinland-Pfalz<br>Place: Kaub;Pfalzgrafenstein
52;prag;Prague;Prazsky Hrad;Czechia;Tsjechië;Oost Europa, Heilige Roomse Rijk;Eastern Europe, Holy Roman Empire;Praha;Hlavní m?sto Praha;prago;50,08916667;14,39555556;16430062778526573764;;;;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;;;;677,754397;8,098591549;70;68;350,9164661;823,8591549;;463,2830525;112;<b>Prazsky Hrad</b><br><br><img src='http://www.topcastles.com/images/large/prag.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=prag<br><br>52. Prazsky Hrad<br>Country: Czechia<br>Region: Hlavní m?sto Praha<br>Place: Praha;Prazsky Hrad
53;angers;angers;Château d'Angers;France;Frankrijk;;;Angers;Pays de la Loire;pays-de-loire;47,470411;-0,559139;12042988690133168513;Koning Louis IX van Frankrijk;King Louis IX of Frankrijk;13;Rotskasteel;Rock castle;2;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;;;http://www.jesoutienslechateaudangers.fr;675,6345965;7,02189781;136;45;401,0441177;729,389781;2005;561,4617648;0;<b>Château d'Angers</b><br><br><img src='http://www.topcastles.com/images/large/angers.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=angers<br><br>53. Château d'Angers<br>Country: France<br>Region: Pays de la Loire<br>Place: Angers;Château d'Angers
54;scaligera;scaligera;Rocca Scaligera;Italy;Italië;Zuid Europa, Heilige Roomse Rijk;South Europe, Holy Roman Empire;Sirmione;Lombardije (Lombardia);lombardia;45,4923044421;10,6085882694;7133004997564824679;Mastino I;Mastino I;;Havenburcht;Harbour castle;4;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1; ; ;;;http://www.bresciainvetrina.it/bresciaturismo/lagodigarda_sirmione_castello.htm;675,2383919;7,656565657;98;55;369,5667878;785,2565657;2007;489,3935029;112;<b>Rocca Scaligera</b><br><br><img src='http://www.topcastles.com/images/large/scaligera.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=scaligera<br><br>54. Rocca Scaligera<br>Country: Italy<br>Region: Lombardije (Lombardia)<br>Place: Sirmione;Rocca Scaligera
55;visby;visborg;Visborg Slott;Sweden;Zweden;Scandinavië, Noord Europa;Scandinavia, Nordic;Visby (Gotland);Småland;smaland;57,643041;18,298422;;Eric van Pomerren, Koning van Noorwegen, Denemarken en Zweden;Eric of Pomerania, king of Sweden, Denmark and Norway;15;Havenburcht;Harbour castle;4;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Ruïne/Restant;Ruined/Partly remained;4; ; ;;"Visborg (Wisborg) refers to a fortress in the town of Visby on the Swedish island of Gotland. There was no one fortress called ""Visborg"", rather it refers to successive fortresses built in Visby (Borg in Old Norse means fortress or castle). Though Visborg is usually a reference to the castle built here by Erik of Pomerania.";;674,2679234;5,431818182;43;22;498,1966825;551,7818182;;585,4753555;448;<b>Visborg Slott</b><br><br><img src='http://www.topcastles.com/images/large/visby.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=visby<br><br>55. Visborg Slott<br>Country: Sweden<br>Region: Småland<br>Place: Visby (Gotland);Visborg Slott
56;trifels;trifels;Kaiserburg Trifels;Germany;Duitsland;Heilige Roomse Rijk;Holy Roman Empire;Annweiler;Rheinland-Pfalz;rheinland-pfalz;49,196514;7,97821;;;;12;Rotskasteel;Rock castle;2;Donjon in weermuren;Donjon in curtain wall;7;Herbouwd/Verbouwd;Rebuild/Restored;2;In 1193 heeft hier Koning Richard Leeuwenhart gevangen gezeten.;In 1193 heeft hier Koning Richard Leeuwenhart gevangen gezeten.;Het kasteel is in 1938 herbouwd.;Het kasteel is in 1938 herbouwd.;http://www.trifelsland.de/de/region/burgen/trifels.html;673,3508044;5,855421687;82;27;469,3108001;601,9421687;2004;657,0351201;0;<b>Kaiserburg Trifels</b><br><br><img src='http://www.topcastles.com/images/large/trifels.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=trifels<br><br>56. Kaiserburg Trifels<br>Country: Germany<br>Region: Rheinland-Pfalz<br>Place: Annweiler;Kaiserburg Trifels
57;nicola;nicola;St. Nicola (Collachium?);Greece;Griekenland;Oost Europa, Balkan, Kruistochten;Eastern Europe, Balkans, Crusades;Rhodes;;;36,445473;28,22422;18181159532935965776;;;15;Havenburcht;Harbour castle;4;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;;;;672,1796029;8,364583333;95;86;327,1671514;855,4583333;;374,0340119;336;<b>St. Nicola (Collachium?)</b><br><br><img src='http://www.topcastles.com/images/large/nicola.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=nicola<br><br>57. St. Nicola (Collachium?)<br>Country: Greece<br>Region: <br>Place: Rhodes;St. Nicola (Collachium?)
58;pembroke;pembroke;Pembroke Castle;Wales;Wales;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Pembroke;Dyfed;dyfed;51,676355;-4,920855;17088641599906110771;William Marshall;William Marshall;12;Havenburcht;Harbour castle;4;Donjon binnen weermuren;Donjon inside curtain wall;6;Beschadigd;Damaged;3;Geboorteplaats van koning Henry VII (1485-1509).;Geboorteplaats van koning Henry VII (1485-1509).;;;;666,6369225;7,384615385;116;54;373,117948;761,6615385;;522,3651273;0;<b>Pembroke Castle</b><br><br><img src='http://www.topcastles.com/images/large/pembroke.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=pembroke<br><br>58. Pembroke Castle<br>Country: Wales<br>Region: Dyfed<br>Place: Pembroke;Pembroke Castle
59;carrickfergus;carrickfergus;Carrickfergus Castle;Northern Ireland;Noord-Ierland;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;;Antrim;antrim;54,713534;-5,806307;5648953979234590620;Belfast Lough;Belfast Lough;;Havenburcht;Harbour castle;4;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;;;;663,1679367;6,857142857;34;40;407,6786599;692,5142857;;464,7501238;424;<b>Carrickfergus Castle</b><br><br><img src='http://www.topcastles.com/images/large/carrickfergus.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=carrickfergus<br><br>59. Carrickfergus Castle<br>Country: Northern Ireland<br>Region: Antrim<br>Place: ;Carrickfergus Castle
60;beersel;beersel;Kasteel Beersel;Belgium;België;Benelux, Heilige Roomse Rijk;Benelux, Holy Roman Empire;Beersel;Brabant;brabant;50,76562292;4,300083634;3403568592169299214;;;14;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3;;;;;http://www.beersel.be/cat_06/scat_06_02/scat_06_02_02/kasteel_beersel.htm;662,5240784;7,73880597;133;72;346,9819776;800,480597;2004;485,7747687;0;<b>Kasteel Beersel</b><br><br><img src='http://www.topcastles.com/images/large/beersel.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=beersel<br><br>60. Kasteel Beersel<br>Country: Belgium<br>Region: Brabant<br>Place: Beersel;Kasteel Beersel
61;almeria;almeria;Alcazaba de Almeria;Spain;Spanje;Zuid Europa;South Europe;Almeria;Andalucia;andalucia;36,840275;-2,470744;13398638177749616052;Abd al-Rahaman III ;Abd al-Rahaman III ;10;Rotskasteel;Rock castle;2;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;;;;661,5134581;7,485294118;67;58;367,2763914;761,9294118;;458,1869479;224;<b>Alcazaba de Almeria</b><br><br><img src='http://www.topcastles.com/images/large/almeria.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=almeria<br><br>61. Alcazaba de Almeria<br>Country: Spain<br>Region: Andalucia<br>Place: Almeria;Alcazaba de Almeria
62;hunedoara;hunedoara;Castelul Corvinestilor? (Hunedoara, Huniazilor, Vajdahunyad);Rumania;Roemenië;Oost Europa, Balkan;Eastern Europe, Balkans;Hunedoara;Transylvanië (Siebenbürgen);transylvania;45,749135;22,888309;16220806835121443990;;;;Rotskasteel;Rock castle;2;Donjon in weermuren;Donjon in curtain wall;7;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;Ook bekend als Kasteel van Hunyadi, -Huniazi en -Corvin.;Also known as Hunyadi's Castle, Huniazi Castle and Corvin's Castle;http://www.ici.ro/romania/en/turism/hd_huniarzi.html;648,0746485;8,592476489;318;130;262,9453601;922,8476489;;256,1235041;448;<b>Castelul Corvinestilor? (Hunedoara, Huniazilor, Vajdahunyad)</b><br><br><img src='http://www.topcastles.com/images/large/hunedoara.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=hunedoara<br><br>62. Castelul Corvinestilor? (Hunedoara, Huniazilor, Vajdahunyad)<br>Country: Rumania<br>Region: Transylvanië (Siebenbürgen)<br>Place: Hunedoara;Castelul Corvinestilor? (Hunedoara, Huniazilor, Vajdahunyad)
63;penafiel;penafiel;Castillo de Peñafiel;Spain;Spanje;Zuid Europa;South Europe;Peñafiel (Valladolid);Castilla y León;castilla_y_leon;41,59666854;-4,114697738;; ; ;11;Rotskasteel;Rock castle;2;Donjon in weermuren;Donjon in curtain wall;7;Intakt;Intact;1; ; ;;;http://www.turismocastillayleon.com/cm/turcyl/tkContent?idContent=1257&textOnly=false&locale=en_EN;647,520285;6,442748092;130;42;402,647645;670,2748092;;507,7067029;224;<b>Castillo de Peñafiel</b><br><br><img src='http://www.topcastles.com/images/large/penafiel.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=penafiel<br><br>63. Castillo de Peñafiel<br>Country: Spain<br>Region: Castilla y León<br>Place: Peñafiel (Valladolid);Castillo de Peñafiel
64;castelnuovo;castelnuovo;Castel Nuovo (Maschio Angioino);Italy;Italië;Zuid Europa;South Europe;Naples;Campanië;campanie;40,838392;14,253049;3601118162730673673;Charles of Anjou;Charles of Anjou;13;Havenburcht;Harbour castle;4;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;;;;646,3782056;6,474576271;58;41;407,6104356;659,0576271;;542,6546099;112;<b>Castel Nuovo (Maschio Angioino)</b><br><br><img src='http://www.topcastles.com/images/large/castelnuovo.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=castelnuovo<br><br>64. Castel Nuovo (Maschio Angioino)<br>Country: Italy<br>Region: Campanië<br>Place: Naples;Castel Nuovo (Maschio Angioino)
65;olavinlinna;olavinlinna;Olavinlinna (Olofsburg);Finland;Finland;Noord Europa;Nordic;;;;;;;;;15;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;"The castle was purposefully build on an small rocky island in the middle of a deep and very rapidly flowing straight between 2 lake systems, which was frequently used as a waterway for trading and war during history. This also meant that the castle's ""moat"" (the straight itself) would not freeze over during even the harshest of winters. There was a well for sweetwater on the island, though it had to be dug unseemly deep and was even then prone to drying up at times.

The castle had originally 5 nearly equally tall round towers built to similar design like those on your picture (cannon towers), of which 1 was partially dismantled due to perceived danger of imminent collapse and the other one in fact did collapse due to neglect, they were located on the castle's ""backside"" where the water was wider (upper lake) and so were not rebuilt but were replaced with bastion defences later on.

The original castle was triangular (not square) in shape and had 3 towers in each of it corners 2 remain and 1 was destroyed.

Later on the castle was expanded first by adding 2 more towers and curtain walls to cover the islands only water source (the well) now covered by the huge white canvas. This also allowed more substantial storage space and accommodations to be placed secure on the island. One of the additional round towers is still seen on the upper-right corner of the castle here, the other (named the ""fat tower"" due its originally 5 meter thick walls, since it was intended to be used, as a second ""keep"" at the time) is now covered by the huge bastion seen in the lower-right corner of the castle, the defences facing the upper lake were later on strengthened with further 2 large bastions and 2 additional small ones added in the upper left-corner and the middle of the right flank of the castle closely adjoining the original ""Fat Tower"" or the ""Grand Bastion"" as it became known. The original triangular Medieval Castle served as the ""Keep"" for the whole complex, with its walls maintained as clearly the highest in all the castle. 

""The Castle Front"" side facing the town of Savonlinna (meaning ""the castle of Savolax"", the town was named after the province this castle and its town administered and protected). 
[Text: Ilari Rahja]";"The castle was purposefully build on an small rocky island in the middle of a deep and very rapidly flowing straight between 2 lake systems, which was frequently used as a waterway for trading and war during history. This also meant that the castle's ""moat"" (the straight itself) would not freeze over during even the harshest of winters. There was a well for sweetwater on the island, though it had to be dug unseemly deep and was even then prone to drying up at times.

The castle had originally 5 nearly equally tall round towers built to similar design like those on your picture (cannon towers), of which 1 was partially dismantled due to perceived danger of imminent collapse and the other one in fact did collapse due to neglect, they were located on the castle's ""backside"" where the water was wider (upper lake) and so were not rebuilt but were replaced with bastion defences later on.

The original castle was triangular (not square) in shape and had 3 towers in each of it corners 2 remain and 1 was destroyed.

Later on the castle was expanded first by adding 2 more towers and curtain walls to cover the islands only water source (the well) now covered by the huge white canvas. This also allowed more substantial storage space and accommodations to be placed secure on the island. One of the additional round towers is still seen on the upper-right corner of the castle here, the other (named the ""fat tower"" due its originally 5 meter thick walls, since it was intended to be used, as a second ""keep"" at the time) is now covered by the huge bastion seen in the lower-right corner of the castle, the defences facing the upper lake were later on strengthened with further 2 large bastions and 2 additional small ones added in the upper left-corner and the middle of the right flank of the castle closely adjoining the original ""Fat Tower"" or the ""Grand Bastion"" as it became known. The original triangular Medieval Castle served as the ""Keep"" for the whole complex, with its walls maintained as clearly the highest in all the castle. 

""The Castle Front"" side facing the town of Savonlinna (meaning ""the castle of Savolax"", the town was named after the province this castle and its town administered and protected). 
[Text: Ilari Rahja]";;643,0045138;8,296296296;26;95;306,2107766;834,8296296;;316,6950873;448;<b>Olavinlinna (Olofsburg)</b><br><br><img src='http://www.topcastles.com/images/large/olavinlinna.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=olavinlinna<br><br>65. Olavinlinna (Olofsburg)<br>Country: Finland<br>Region: <br>Place: ;Olavinlinna (Olofsburg)
66;caerlaverock;caerlaverock;Caerlaverock Castle;Scotland;Schotland;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;(Dumfries and Galloway);South;south;55,0037;-3,571329;11423927629282597296;Koning Edward I van Engeland;King Edward I of England;13;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;;;http://www.dumfriesmuseum.demon.co.uk/frames.html;642,5509071;7,530201342;148;82;334,7120445;782,6201342;;412,5968622;224;<b>Caerlaverock Castle</b><br><br><img src='http://www.topcastles.com/images/large/caerlaverock.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=caerlaverock<br><br>66. Caerlaverock Castle<br>Country: Scotland<br>Region: South<br>Place: (Dumfries and Galloway);Caerlaverock Castle
67;fuensaldana;fuensaldana;Castillo de Fuensaldaña;Spain;Spanje;Zuid Europa;South Europe;Fuensaldaña (Valladolid);Castilla y León;castilla_y_leon;41,706289;-4,767364;;Koning Jean II van Castilie;King Jean II of Castilie;15;Hoogteburcht;Mountain castle;1;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1; ; ;;;;638,8371164;7,216216216;110;66;352,2514506;743,6216216;;437,1520309;224;<b>Castillo de Fuensaldaña</b><br><br><img src='http://www.topcastles.com/images/large/fuensaldana.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=fuensaldana<br><br>67. Castillo de Fuensaldaña<br>Country: Spain<br>Region: Castilla y León<br>Place: Fuensaldaña (Valladolid);Castillo de Fuensaldaña
68;fenis;fenis;Castello di Fenis;Italy;Italië;Zuid Europa, Heilige Roomse Rijk;South Europe, Alps, Holy Roman Empire;Piemont;Valle d'Aosta;aosta;45,737069;7,489607;7552635138988960609;;;13;Hoogteburcht;Mountain castle;1;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1; ; ;;;http://www.regione.vda.it/turismo/cultura/castelli/fenis_e.asp;637,6496734;7,471544715;122;81;335,4138196;771,5544715;2012;441,5793474;112;<b>Castello di Fenis</b><br><br><img src='http://www.topcastles.com/images/large/fenis.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=fenis<br><br>68. Castello di Fenis<br>Country: Italy<br>Region: Valle d'Aosta<br>Place: Piemont;Castello di Fenis
69;vincennes;vincennes;Château de Vincennes ;France;Frankrijk;;;Paris;Ile-de-France;ile-de-france;48,84270885;2,435492906;1422668021551100983;Koning Philippe VI van Frankrijk;King Philippe VI of Frankrijk;12;Stadsburcht;City castle;5;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2;"Afgebeeld op de maand december van het beroemde boek ""Très riches heures"" van Duc de Berry uit de 15de eeuw.";"This castle was represented in the famous book ""Très riches heures"" of  Duc de Berry (15th century) in the month December.";;;http://www.chateau-vincennes.fr/index.php;635,361761;6,536423841;150;50;381,7117432;683,6423841;2004;534,3964405;0;<b>Château de Vincennes </b><br><br><img src='http://www.topcastles.com/images/large/vincennes.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=vincennes<br><br>69. Château de Vincennes <br>Country: France<br>Region: Ile-de-France<br>Place: Paris;Château de Vincennes 
70;hochosterwitz;hochosterwitz;Hochosterwitz;Austria;Oostenrijk;Alpen, Heilige Roomse Rijk;Alps, Holy Roman Empire;St. Veith an der Glan;Kärnten;kaernten;46,755;14,453611;9183157410819507145;Archbishop van Salzburg;Archbishop of Salzburg;13;Hoogteburcht;Mountain castle;1;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1;;;In de 9de-eeuw stond op deze plaats al een kasteel die in de 13de-eeuw werd uitgebouwd. In de 16de eeuw zijn de fortificaties toegevoegd.;In de 9de-eeuw stond op deze plaats al een kasteel die in de 13de-eeuw werd uitgebouwd. In de 16de eeuw zijn de fortificaties toegevoegd.;http://www.burg-hochosterwitz.or.at;634,8033353;7,130769231;129;69;350,4054152;738,8769231;;490,5675813;0;<b>Hochosterwitz</b><br><br><img src='http://www.topcastles.com/images/large/hochosterwitz.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=hochosterwitz<br><br>70. Hochosterwitz<br>Country: Austria<br>Region: Kärnten<br>Place: St. Veith an der Glan;Hochosterwitz
71;chinon;chinon;Château de Chinon ;France;Frankrijk;;;Chinon;Centre;centre;47,16797;0,237252;1052718430847246188;Koning Henry II van Engeland;King Henry II of England;12;Rotskasteel;Rock castle;2;Donjon binnen weermuren;Donjon inside curtain wall;6;Beschadigd;Damaged;3;Hier leerde Jeanne d'Arc de Dauphin -de toekomstige koning Charles VII van Frankrijk (1422-1461)- kennen.;Hier leerde Jeanne d'Arc de Dauphin -de toekomstige koning Charles VII van Frankrijk (1422-1461)- kennen.;Chinon heeft een omtrek van meer dan 400 meter. Het bestaat in feite uit drie aparte kastelen die oorspronkelijk gescheiden waren door droge grachten: Chateau du Coudray, Chateau du Milieu en Fort St-Georges. Het kasteel werd in de 17de-eeuw ernstig beschadigd.;Chinon heeft een omtrek van meer dan 400 meter. Het bestaat in feite uit drie aparte kastelen die oorspronkelijk gescheiden waren door droge grachten: Chateau du Coudray, Chateau du Milieu en Fort St-Georges. Het kasteel werd in de 17de-eeuw ernstig beschadigd.;http://www.37-online.net/gb/castles/chinon_gb.html;633,777051;6,367924528;105;47;394,3120274;657,7924528;2005;552,0368383;0;<b>Château de Chinon </b><br><br><img src='http://www.topcastles.com/images/large/chinon.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=chinon<br><br>71. Château de Chinon <br>Country: France<br>Region: Centre<br>Place: Chinon;Château de Chinon 
